first,second,third
Geographical Region,Southern Europe,Italy
Geographical Region,Southern Europe,Malta
Geographical Region,Southern Europe,Montenegro
Geographical Region,Southern Europe,Portugal
Geographical Region,Southern Europe,San Marino
Geographical Region,Southern Europe,Serbia
Geographical Region,Southern Europe,Slovenia
Geographical Region,Southern Europe,Spain
Geographical Region,Southern Europe,The former Yugoslav Republic of Macedonia
Geographical Region,Western Africa,Benin
Geographical Region,Western Africa,Burkina Faso
Geographical Region,Western Africa,Cabo Verde
Geographical Region,Western Africa,Côte d'Ivoire
Geographical Region,Western Africa,Gambia
Geographical Region,Western Africa,Ghana
Geographical Region,Western Africa,Guinea
Geographical Region,Western Africa,Guinea-Bissau
Geographical Region,Western Africa,Liberia
Geographical Region,Western Africa,Mali
Geographical Region,Western Africa,Mauritania
Geographical Region,Western Africa,Niger
Geographical Region,Western Africa,Nigeria
Geographical Region,Western Africa,Senegal
Geographical Region,Western Africa,Sierra Leone
Geographical Region,Western Africa,Togo
Geographical Region,Western Asia,Armenia
Geographical Region,Western Asia,Azerbaijan
Geographical Region,Western Asia,Bahrain
Geographical Region,Western Asia,Cyprus
Geographical Region,Western Asia,Georgia
Geographical Region,Western Asia,Iraq
Geographical Region,Western Asia,Israel
Geographical Region,Western Asia,Jordan
Geographical Region,Western Asia,Kuwait
Geographical Region,Western Asia,Lebanon
Geographical Region,Western Asia,Oman
Geographical Region,Western Asia,Qatar
Geographical Region,Western Asia,Saudi Arabia
Geographical Region,Western Asia,Syrian Arab Republic
Geographical Region,Western Asia,Turkey
Geographical Region,Western Asia,United Arab Emirates
Geographical Region,Western Asia,Yemen
Geographical Region,Western Europe,Austria
Geographical Region,Western Europe,Belgium
Geographical Region,Western Europe,France
Geographical Region,Western Europe,Germany
Geographical Region,Western Europe,Luxembourg
Geographical Region,Western Europe,Monaco
Geographical Region,Western Europe,Netherlands
Geographical Region,Western Europe,Switzerland
Economic groups,Arab Maghreb Union,Algeria
Economic groups,Arab Maghreb Union,Libya
Economic groups,Arab Maghreb Union,Mauritania
Economic groups,Arab Maghreb Union,Morocco
Economic groups,Arab Maghreb Union,Tunisia
Economic groups,Central American Council of Agriculture,Belize
Economic groups,Central American Council of Agriculture,Costa Rica
Economic groups,Central American Council of Agriculture,El Salvador
Economic groups,Central American Council of Agriculture,Guatemala
Economic groups,Central American Council of Agriculture,Honduras
Economic groups,Central American Council of Agriculture,Nicaragua
Economic groups,Central American Council of Agriculture,Panama
Economic groups,Andean Community,Bolivia (Plurinational State of)
Economic groups,Andean Community,Colombia
Economic groups,Andean Community,Ecuador
Economic groups,Andean Community,Peru
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Antigua and Barbuda
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Bahamas
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Barbados
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Belize
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Dominica
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Dominican Republic
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Grenada
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Guyana
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Haiti
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Jamaica
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Saint Kitts and Nevis
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Saint Lucia
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Saint Vincent and the Grenadines
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Suriname
Economic groups,"Caribbean Forum of African, Caribbean and Pacific States",Trinidad and Tobago
Economic groups,European Union,Austria
Economic groups,European Union,Belgium
Economic groups,European Union,Bulgaria
Economic groups,European Union,Croatia
Economic groups,European Union,Cyprus
Economic groups,European Union,Czech Republic
Economic groups,European Union,Denmark
Economic groups,European Union,Estonia
Economic groups,European Union,Finland
Economic groups,European Union,France
Economic groups,European Union,Germany
Economic groups,European Union,Greece
Economic groups,European Union,Hungary
Economic groups,European Union,Ireland
Economic groups,European Union,Italy
Economic groups,European Union,Latvia
Economic groups,European Union,Lithuania
Economic groups,European Union,Luxembourg
Economic groups,European Union,Malta
Economic groups,European Union,Netherlands
Economic groups,European Union,Poland
Economic groups,European Union,Portugal
Economic groups,European Union,Romania
Economic groups,European Union,Slovakia
Economic groups,European Union,Slovenia
Economic groups,European Union,Spain
Economic groups,European Union,Sweden
Economic groups,European Union,United Kingdom
Economic groups,Cooperation Council for the Arab States of the Gulf,Bahrain
Economic groups,Cooperation Council for the Arab States of the Gulf,Kuwait
Economic groups,Cooperation Council for the Arab States of the Gulf,Oman
Economic groups,Cooperation Council for the Arab States of the Gulf,Qatar
Economic groups,Cooperation Council for the Arab States of the Gulf,Saudi Arabia
Economic groups,Cooperation Council for the Arab States of the Gulf,United Arab Emirates
Economic groups,Community of Sahel-Saharan States,Benin
Economic groups,Community of Sahel-Saharan States,Burkina Faso
Economic groups,Community of Sahel-Saharan States,Central African Republic
Economic groups,Community of Sahel-Saharan States,Chad
Economic groups,Community of Sahel-Saharan States,Comoros
Economic groups,Community of Sahel-Saharan States,Côte d'Ivoire
Economic groups,Community of Sahel-Saharan States,Djibouti
Economic groups,Community of Sahel-Saharan States,Egypt
Economic groups,Community of Sahel-Saharan States,Eritrea
Economic groups,Community of Sahel-Saharan States,Gambia
Economic groups,Community of Sahel-Saharan States,Ghana
Economic groups,Community of Sahel-Saharan States,Guinea
Economic groups,Community of Sahel-Saharan States,Guinea-Bissau
Economic groups,Community of Sahel-Saharan States,Kenya
Economic groups,Community of Sahel-Saharan States,Liberia
Economic groups,Community of Sahel-Saharan States,Libya
Economic groups,Community of Sahel-Saharan States,Mali
Economic groups,Community of Sahel-Saharan States,Mauritania
Economic groups,Community of Sahel-Saharan States,Morocco
Economic groups,Community of Sahel-Saharan States,Niger
Economic groups,Community of Sahel-Saharan States,Nigeria
Economic groups,Community of Sahel-Saharan States,Sao Tome and Principe
Economic groups,Community of Sahel-Saharan States,Senegal
Economic groups,Community of Sahel-Saharan States,Sierra Leone
Economic groups,Community of Sahel-Saharan States,Somalia
Economic groups,Community of Sahel-Saharan States,Sudan
Economic groups,Community of Sahel-Saharan States,Togo
Economic groups,Community of Sahel-Saharan States,Tunisia
Economic groups,Common Market for Eastern and Southern Africa,Burundi
Economic groups,Common Market for Eastern and Southern Africa,Comoros
Economic groups,Common Market for Eastern and Southern Africa,Democratic Republic of the Congo
Economic groups,Common Market for Eastern and Southern Africa,Djibouti
Economic groups,Common Market for Eastern and Southern Africa,Egypt
Economic groups,Common Market for Eastern and Southern Africa,Eritrea
Economic groups,Common Market for Eastern and Southern Africa,Ethiopia
Economic groups,Common Market for Eastern and Southern Africa,Kenya
Economic groups,Common Market for Eastern and Southern Africa,Libya
Economic groups,Common Market for Eastern and Southern Africa,Madagascar
Economic groups,Common Market for Eastern and Southern Africa,Malawi
Economic groups,Common Market for Eastern and Southern Africa,Mauritius
Economic groups,Common Market for Eastern and Southern Africa,Rwanda
Economic groups,Common Market for Eastern and Southern Africa,Seychelles
Economic groups,Common Market for Eastern and Southern Africa,Sudan
Economic groups,Common Market for Eastern and Southern Africa,Swaziland
Economic groups,Common Market for Eastern and Southern Africa,Uganda
Economic groups,Common Market for Eastern and Southern Africa,Zambia
Economic groups,Common Market for Eastern and Southern Africa,Zimbabwe
Economic groups,Council of Arab Economic Unity,Egypt
Economic groups,Council of Arab Economic Unity,Iraq
Economic groups,Council of Arab Economic Unity,Jordan
Economic groups,Council of Arab Economic Unity,Kuwait
Economic groups,Council of Arab Economic Unity,Libya
Economic groups,Council of Arab Economic Unity,Mauritania
Economic groups,Council of Arab Economic Unity,Somalia
Economic groups,Council of Arab Economic Unity,Sudan
Economic groups,Council of Arab Economic Unity,Syrian Arab Republic
Economic groups,Council of Arab Economic Unity,Tunisia
Economic groups,Council of Arab Economic Unity,United Arab Emirates
Economic groups,Council of Arab Economic Unity,Yemen
Economic groups,Economic Community of Central African States,Angola
Economic groups,Economic Community of Central African States,Burundi
Economic groups,Economic Community of Central African States,Cameroon
Economic groups,Economic Community of Central African States,Central African Republic
Economic groups,Economic Community of Central African States,Chad
Economic groups,Economic Community of Central African States,Congo
Economic groups,Economic Community of Central African States,Democratic Republic of the Congo
Economic groups,Economic Community of Central African States,Equatorial Guinea
Economic groups,Economic Community of Central African States,Gabon
Economic groups,Economic Community of Central African States,Rwanda
Economic groups,Economic Community of Central African States,Sao Tome and Principe
Economic groups,Economic Community of West African States,Benin
Economic groups,Economic Community of West African States,Burkina Faso
Economic groups,Economic Community of West African States,Cabo Verde
Economic groups,Economic Community of West African States,Côte d'Ivoire
Economic groups,Economic Community of West African States,Gambia
Economic groups,Economic Community of West African States,Ghana
Economic groups,Economic Community of West African States,Guinea-Bissau
Economic groups,Economic Community of West African States,Liberia
Economic groups,Economic Community of West African States,Mali
Economic groups,Economic Community of West African States,Nigeria
Economic groups,Economic Community of West African States,Senegal
Economic groups,Economic Community of West African States,Sierra Leone
Economic groups,Economic Community of West African States,Togo
Economic groups,Economic Cooperation Organization,Afghanistan
Economic groups,Economic Cooperation Organization,Azerbaijan
Economic groups,Economic Cooperation Organization,Iran (Islamic Republic of)
Economic groups,Economic Cooperation Organization,Kazakhstan
Economic groups,Economic Cooperation Organization,Kyrgyzstan
Economic groups,Economic Cooperation Organization,Pakistan
Economic groups,Economic Cooperation Organization,Tajikistan
Economic groups,Economic Cooperation Organization,Turkey
Economic groups,Economic Cooperation Organization,Turkmenistan
Economic groups,Economic Cooperation Organization,Uzbekistan
Economic groups,Intergovernmental Authority on Development,Djibouti
Economic groups,Intergovernmental Authority on Development,Eritrea
Economic groups,Intergovernmental Authority on Development,Ethiopia
Economic groups,Intergovernmental Authority on Development,Kenya
Economic groups,Intergovernmental Authority on Development,Somalia
Economic groups,Intergovernmental Authority on Development,Sudan
Economic groups,Intergovernmental Authority on Development,Uganda
Economic groups,Pacific Islands Forum,Australia
Economic groups,Pacific Islands Forum,Cook Islands
Economic groups,Pacific Islands Forum,Kiribati
Economic groups,Pacific Islands Forum,Marshall Islands
Economic groups,Pacific Islands Forum,Micronesia (Federated States of)
Economic groups,Pacific Islands Forum,Nauru
Economic groups,Pacific Islands Forum,New Zealand
Economic groups,Pacific Islands Forum,Niue
Economic groups,Pacific Islands Forum,Palau
Economic groups,Pacific Islands Forum,Papua New Guinea
Economic groups,Pacific Islands Forum,Samoa
Economic groups,Pacific Islands Forum,Solomon Islands
Economic groups,Pacific Islands Forum,Tonga
Economic groups,Pacific Islands Forum,Tuvalu
Economic groups,Pacific Islands Forum,Vanuatu
Economic groups,South Asian Association for Regional Cooperation,Afghanistan
Economic groups,South Asian Association for Regional Cooperation,Bangladesh
Economic groups,South Asian Association for Regional Cooperation,Bhutan
Economic groups,South Asian Association for Regional Cooperation,India
Economic groups,South Asian Association for Regional Cooperation,Maldives
Economic groups,South Asian Association for Regional Cooperation,Nepal
Economic groups,South Asian Association for Regional Cooperation,Pakistan
Economic groups,South Asian Association for Regional Cooperation,Sri Lanka
Economic groups,Southern African Development Community,Angola
Economic groups,Southern African Development Community,Botswana
Economic groups,Southern African Development Community,Democratic Republic of the Congo
Economic groups,Southern African Development Community,Lesotho
Economic groups,Southern African Development Community,Madagascar
Economic groups,Southern African Development Community,Malawi
Economic groups,Southern African Development Community,Mauritius
Economic groups,Southern African Development Community,Mozambique
Economic groups,Southern African Development Community,Namibia
Economic groups,Southern African Development Community,Seychelles
Economic groups,Southern African Development Community,South Africa
Economic groups,Southern African Development Community,Swaziland
Economic groups,Southern African Development Community,United Republic of Tanzania
Economic groups,Southern African Development Community,Zambia
Economic groups,Southern African Development Community,Zimbabwe
Economic groups,Southern Common Market,Argentina
Economic groups,Southern Common Market,Brazil
Economic groups,Southern Common Market,Paraguay
Economic groups,Southern Common Market,Uruguay
indi_name,indi_url
"Access to electricity, rural (% of rural population)",['/indicator/EG.ELC.ACCS.RU.ZS?vidownloadformat=excel
Agricultural irrigated land (% of total agricultural land),['/indicator/AG.LND.IRIG.AG.ZS?vidownloadformat=excel
Agricultural land (% of land area),['/indicator/AG.LND.AGRI.ZS?vidownloadformat=excel
Agricultural land (sq. km),['/indicator/AG.LND.AGRI.K2?vidownloadformat=excel
"Agricultural machinery, tractors",['/indicator/AG.AGR.TRAC.NO?vidownloadformat=excel
"Agricultural machinery, tractors per 100 sq. km of arable land",['/indicator/AG.LND.TRAC.ZS?vidownloadformat=excel
Agricultural methane emissions (% of total),['/indicator/EN.ATM.METH.AG.ZS?vidownloadformat=excel
Agricultural methane emissions (thousand metric tons of CO2 equivalent),['/indicator/EN.ATM.METH.AG.KT.CE?vidownloadformat=excel
Agricultural nitrous oxide emissions (% of total),['/indicator/EN.ATM.NOXE.AG.ZS?vidownloadformat=excel
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),['/indicator/EN.ATM.NOXE.AG.KT.CE?vidownloadformat=excel
Agricultural raw materials exports (% of merchandise exports),['/indicator/TX.VAL.AGRI.ZS.UN?vidownloadformat=excel
Agricultural raw materials imports (% of merchandise imports),['/indicator/TM.VAL.AGRI.ZS.UN?vidownloadformat=excel
Agriculture value added per worker (constant 2010 US$),['/indicator/EA.PRD.AGRI.KD?vidownloadformat=excel
"Agriculture, value added (% of GDP)",['/indicator/NV.AGR.TOTL.ZS?vidownloadformat=excel
"Agriculture, value added (current US$)",['/indicator/NV.AGR.TOTL.CD?vidownloadformat=excel
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",['/indicator/ER.H2O.FWAG.ZS?vidownloadformat=excel
Arable land (% of land area),['/indicator/AG.LND.ARBL.ZS?vidownloadformat=excel
Arable land (hectares per person),['/indicator/AG.LND.ARBL.HA.PC?vidownloadformat=excel
Arable land (hectares),['/indicator/AG.LND.ARBL.HA?vidownloadformat=excel
Average precipitation in depth (mm per year),['/indicator/AG.LND.PRCP.MM?vidownloadformat=excel
Cereal production (metric tons),['/indicator/AG.PRD.CREL.MT?vidownloadformat=excel
Cereal yield (kg per hectare),['/indicator/AG.YLD.CREL.KG?vidownloadformat=excel
Crop production index (2004-2006 = 100),['/indicator/AG.PRD.CROP.XD?vidownloadformat=excel
Employment in agriculture (% of total employment),['/indicator/SL.AGR.EMPL.ZS?vidownloadformat=excel
"Employment in agriculture, female (% of female employment)",['/indicator/SL.AGR.EMPL.FE.ZS?vidownloadformat=excel
"Employment in agriculture, male (% of male employment)",['/indicator/SL.AGR.EMPL.MA.ZS?vidownloadformat=excel
Fertilizer consumption (% of fertilizer production),['/indicator/AG.CON.FERT.PT.ZS?vidownloadformat=excel
Fertilizer consumption (kilograms per hectare of arable land),['/indicator/AG.CON.FERT.ZS?vidownloadformat=excel
Food production index (2004-2006 = 100),['/indicator/AG.PRD.FOOD.XD?vidownloadformat=excel
Forest area (% of land area),['/indicator/AG.LND.FRST.ZS?vidownloadformat=excel
Forest area (sq. km),['/indicator/AG.LND.FRST.K2?vidownloadformat=excel
"Improved sanitation facilities, rural (% of rural population with access)",['/indicator/SH.STA.ACSN.RU?vidownloadformat=excel
"Improved water source, rural (% of rural population with access)",['/indicator/SH.H2O.SAFE.RU.ZS?vidownloadformat=excel
Land area (sq. km),['/indicator/AG.LND.TOTL.K2?vidownloadformat=excel
Land under cereal production (hectares),['/indicator/AG.LND.CREL.HA?vidownloadformat=excel
Livestock production index (2004-2006 = 100),['/indicator/AG.PRD.LVSK.XD?vidownloadformat=excel
