name,intro,address,tel,fax,email,site
尼泊尔投资银行（Nepal Investment Bank）,简介：尼泊尔投资银行（Nepal Investment Bank）是尼泊尔领先的商业银行之一。起初，它被称为尼泊尔银行东方汇理银行，该银行于1986年成立，由尼泊尔与东方汇理银行合资而成。,"地址：Durbar Marg, P.O. Box: 3412, Kathmandu, Nepal ",联系电话：(977-1) 4228229 ,"传真：(977-1) 4226349, 4228927",电子邮箱：info@nibl.com.np,网址：http://www.nibl.com.np/
尼泊尔渣打银行（Standard Chartered Nepal）,简介：尼泊尔渣打银行（Standard Chartered Nepal）是一家尼泊尔银行和金融服务公司。它是渣打的全资子公司。尼泊尔渣打银行成立于1987年1月30日，总部位于加德满都Baneshwor。,,联系电话：+977 1 4781800,,电子邮箱：Clientcarecentre.Nepal@sc.com,网址：https://www.sc.com/np/
"尼泊尔外交部（Ministry of Foreign Affairs, Government of Nepal）",,"\r\n\t\r\n\r\n地址：Singha Durbar,\xa0 Kathmandu, Nepal",联系电话： 977-1- 4200182,传真：977-1- 4200061,电子邮箱：info@mofa.gov.np,网址：http://www.mofa.gov.np/
尼泊尔工商银行（Nepal SBI Bank）,简介：尼泊尔工商银行（Nepal SBI Bank）是第一家印度-尼泊尔合资金融部门，三个主办机构发起人，即：印度国家银行、雇员公积金局和尼泊尔农业发展银行通过1992年7月17日签署的谅解备忘录而成立。它于1993年4月28日在公司注册处处长办公室注册成立公共有限责任公司。,"地址：Hattisar, Kathmandu, Nepal",联系电话：00-977-1-4435516,传真：00977-1-4435612,电子邮箱：corporate@nsbl.com.np,网址：http://www.nepalsbi.com.np/
"尼泊尔信息通信部（Ministry of Information and Communications, Government of Nepal）",,"\r\n\t\r\n\r\n地址：Singha Durbar, Kathmandu",联系电话：+977-1-4211556,传真：+977-1-4211729,电子邮箱：info@moic.gov.np,网址：http://www.moic.gov.np/en/
巴基斯坦公共和私人商业银行,,,,,,
"尼泊尔财政部（Ministry of Finance, Government of Nepal）",,"\r\n\t\r\n\r\n地址：Singh Durbar, Kathmandu, Nepal",联系电话：4211461,传真：4211831,电子邮箱：moev@mof.gov.np,网址：http://www.mof.gov.np/en/
"尼泊尔劳动与就业部（Ministry of Labour and Employment, Government of Nepal）",,"地址：Singhadurbar, Kathmandu, Nepal","联系电话：+977-1- 4211889, 4211991",传真：+977-1-4211877,电子邮箱：info@mole.gov.np,网址：http://www.mole.gov.np/eng/\r\n\t\r\n\r\n
孟加拉国股份公司注册处（Office of the Registrar of Joint Stock Companies and Firms）,简介：负责新成立外资公司或办理已在国外成立的外资公司在孟加拉国注册等手续。,"地址：TCB Bhaban (6th Floor), 1 Kawran Bazar, Dhaka - 1215","联系电话：88028189401, 88 02 8189403",传真：88 02 8189402,电子邮箱：rjsc@roc.gov.bd,网址：http://www.roc.gov.bd/
沙特阿拉伯通讯和信息技术部（Ministry of Communications and Information Technology）,,,联系电话：+966 (011) 4522222,传真：+966 (011) 4522220 ,电子邮箱：info@mcit.gov.sa,网址：http://www.mcit.gov.sa/En/pages/default.aspx
孟加拉国环境局,,"地址：Department of Environment, Poribesh Bhaban E-16, Agargaon, Shere Bangla Nagar, Dhaka 1207, Bangladesh",联系电话：00880-28112461,传真：00880-29118682,电子邮箱：info@doe-bd.org,网址：www.doe-bd.org
马尔代夫伊斯兰银行（Maldives Islamic Bank）,,"[""地址：Ameer Ahmed Magu, Male",联系电话：+960 3325555,传真：+960 3007885,电子邮箱：info@mib.com.mv,网址：http://www.mib.com.mv/
毛里求斯商业银行马尔代夫有限公司（Mauritius Commercial Bank Maldives Pvt.Ltd.）,,"地址：H. Sifa Building, Boduthakurufaanu Magu, Malé, Republic of Maldives",联系电话：(+960) 330 5656,,电子邮箱：contact@mcbmaldives.com,网址：http://www.mcbmaldives.com/en/
马尔代夫资本市场发展局（Capital Market Development Authority）,,"[""地址：MTCC Tower 4th Floor, Boduthakurufaanu Magu, Male",联系电话：+960 333 6619,传真：+960 333 6624 ,电子邮箱：mail@cmda.gov.mv ,网址：http://www.cmda.gov.mv/
巴基斯坦联邦税收委员会（Federal Board of Revenue (FBR)）,,,,"传真： 92-51-9207540, 9205593",,网址：\xa0www.cbr.gov.pk
巴基斯坦投资委员会?Board of Investment (BOI),,,,"传真： 92-51-9206160, 9215554, 9217665, 9203281",,
斯里兰卡人民银行（People's Bank）,"[""简介：斯里兰卡人民银行（People","s Bank）是一家于1961年7月1日成立的斯里兰卡国有商业银行，总部位于科伦坡Sir Chittampalam A. Gardiner街道。"", ""地址：People",联系电话：+94 (0)11 2481481,,电子邮箱：info@peoplesbank.lk ,网址：http://www.peoplesbank.lk/
"马尔代夫经济发展部（Ministry of Economic Development,Republic of Maldives）",,"地址：Boduthakurufaanu Magu, Male’20125, Republic of Maldives ",联系电话：+960 3323668,传真：+960 3323840,电子邮箱：info@trade.gov.mv,网址：http://www.trade.gov.mv/
马尔代夫建筑行业协会（MACI）,,"[""地址：Ground Floor, Port Complex, Hilaalee Magu, Male",联系电话：+(960) 331 8660,传真：+(960) 331 8796,电子邮箱：admin@maci.org.mv,网址：http://maci.org.mv/
马尔代夫旅游行业协会（MATI）,,"地址：4th Fl. Fasmeeru Building, Boduthakurufaanu Magu, P O Box 2056, Male’, Republic of Maldives","联系电话：(960) 3326640, 3321701",传真：(960) 3326641,电子邮箱：mati@dhivehinet.net.mv,网址：http://matimaldives.com/
"马尔代夫财政部（Ministry of Finance and Treasury, Republic of Maldives）",,"[""地址：Ameenee Magu,Block 379, Male",联系电话： (+960) 334 9225/(+960) 334 9200,传真：(+960) 332 4432,电子邮箱：admin@finance.gov.mv,网址：http://www.finance.gov.mv/v2/
巴基斯坦工业生产部（Ministry of Industries）,,,,"传真： 92-51-9205130, 9202165",,网址：\xa0\xa0 www.moip.gov.pk 
缅甸经济银行（Myanma Economic Bank）,,"地址；No.26, Thiri Kyaw Swar Street, Nay Pyi Taw","联系电话：095-067-421882, 095-067-421483",传真：095-067-421483,电子邮箱：mebhoforex@mptmail.net.mm,网址：http:/www.mebank.com.mm 
缅甸外贸银行（Myanmar Foreign Trade Bank）,,"地址：80-86, Mahabandoola Garden Street Kyauktada Township, Yangon, The Republic of The Union of Myanmar",联系电话：00 95 1 380616,传真：00 95 1 254586 ,电子邮箱：MFTB.HOYGN@mptmail.net.mm,网址：http://mmftb.com/english/index.php
甘波扎银行（Kanbawza Bank）,,"地址：No. (615/1), Pyay Road, Kamaryut Township, Yangon","联系电话：(+95) 1-538075, 538076, 538078, 538079, 538080",,,网址：https://www.kbzbank.com/#
合作社银行（CB Bank）,,"地址：No\xa0(334/336), Corner of Strand Road and 23rd Street, Latha Township, Yangon, Myanmar","联系电话：(95-1) 372 646, 372 655, 371 848 ",,电子邮箱：contact@cbbank.com.mm ,网址：http://www.cbbank.com.mm/
佑玛银行（Yoma Bank）,,地址：606-610/380 Bogyoke Aung San Rd. Yangon. Myanmar,联系电话：+95 9 796 372 298,,,网址：http://www.yomabank.com/
"缅甸外交部（Ministry of Foreign Affairs, Republic of the Union of Myanmar）",,"地址：Office No.(9), Nay Pyi Taw",联系电话：0095-067-412344,传真：0095-067-412396,,网址：http://www.mofa.gov.mm/
缅甸通讯与信息技术部（Ministry of Communications and Information Technology）,,地址：Office No.2 Nay Pyi Taw ,联系电话：0095 067-407234， 407351,传真：0095 067-407034,,网址：http://www.mcit.gov.mm/
马尔代夫股票交易公司（Maldives Stock Exchange Company Pvt Ltd）,,"[""地址：3rd Floor, Gadhamoo Building, Boduthakurufaanu Magu, Male",联系电话：+960 330 7878,传真：+960 330 5034,电子邮箱：info@mse.com.mv,网址：http://www.maldivesstockexchange.com.mv/
蒙古Khan Bank,,"地址：Seoul Street-25, PO.BOX-192, Ulaanbaatar-14250, Mongolia",联系电话：976-11-332333,传真：976-70117023,,网址：https://www.khanbank.com/
蒙古Capitron Bank,,"地址：Capitronbank building, Usny gudamj-4, Sukhbaatar district, Ulaanbaatar-14253, Mongolia",联系电话：+976-11-328373,传真：+976-11-328372,电子邮箱：info@capitronbank.mn,网址：http://www.capitronbank.mn/
斯里兰卡萨姆帕斯银行（Sampath Bank）,简介：萨姆帕斯银行（Sampath Bank）是斯里兰卡一家持牌的商业银行。它于1986年注册成立。总部位于斯里兰卡科伦坡。,"地址：Sampath Bank PLC, No 110, Sir James Peiris Mawatha, Colombo 02, Sri Lanka\xa0",联系电话：+94 11 2 30 30 50,传真：+94 11 4712 013,电子邮箱：info@sampath.lk ,网址：http://www.sampath.lk/en/
马尔代夫货币局（Maldives Monetary Authority）,,"地址：Boduthakurufaanu Magu, Malé 20182, Republic of Maldives",联系电话：(960) 330 8679 ,,电子邮箱：mail@mma.gov.mv,网址：http://www.mma.gov.mv/
蒙古国投资银行（National Investment Bank of Mongolia）,,"地址：National Investment Bank building, Usnii street-1, 3rd khoroo, 5th khoroolol, Sukhbaatar district Ulaanbaatar-14252, Mongolia","联系电话：+976-18001188, +976-75757070",传真：+976-11-323999,电子邮箱：info@nibank.mn\xa0 ,网址：https://www.nibank.mn/en
"蒙古外交部（Ministry of Foreign Affairs, Mongolia）",,"地址：Peace Ave-7a, Ulaanbaatar 14210, Mongolia",联系电话：976-62262222,传真：976-11-322127 ,电子邮箱：info@mfa.gov.mn,网址：http://www.mfa.gov.mn/en/
"蒙古财政部（Ministry of Finance, Mongolia）",,"地址；S.Danzangiin gudamj 5/1, Zasgiin gazriin II bair, Ulaanbaatar-15160, Mongolia ",,,,网址：https://www.mof.gov.mn/?lang=en
蒙古自然环境与绿色发展部（Ministry of Environment and Green Development of Mongolia）,,"地址：Ulaanbaatar 15160, Chingeltei district, United nations street 5/2, 2nd building of government",联系电话：(976-51) 261966,传真：(976-51) 266171,电子邮箱：webmaster@mne.gov.mn ,网址：http://www.mne.mn/
"蒙古能源部（Ministry of Energy, Government of Mongolia）",,,,传真：70043479,电子邮箱：info@energy.gov.mn ,网址：http://en.energy.gov.mn/
蒙古劳动部（Ministry of Labour of Mongolia）,,,,,电子邮箱：\xa0info@mol.gov.mn,网址：http://www.mol.gov.mn/eng/
马尔代夫全国工商协会（MNCCI）,,"地址：Ameenee\xa0Magu, Male Republic of Maldives",联系电话/传真：0096-3321889,,电子邮箱：mncci@dhivehinet.net.mv,网址：http://www.mncci.com.mv/
立陶宛外交部（Ministry of Foreign Affairs of the Republic of Lithuania）,,"地址：J.Tumo-Vai?ganto Str. 2, LT-01511 Vilnius","联系电话：+370 706 52444, (8-5) 236 2444",传真：(8-5) 231 3090,电子邮箱：urm@urm.lt,网址：http://www.urm.lt/default/en/
马尔代夫高等法院（High Court of Maldives）,,,,,电子邮箱：info@highcourt.gov.mv,网址：http://www.highcourt.gov.mv/dhi/index.php#
立陶宛AB SEB bankas,,"地址：Gedimino ave. 12, LT-01103 Vilnius","联系电话：1528, (85)268 2800",传真：(85)268 2333,电子邮箱：info@seb.lt,网址：https://www.seb.lt/eng
"立陶宛&#8222;Swedbank“, AB",,"地址：Konstitucijos pr. 20A, LT-03502 Vilnius, Lithuania",联系电话：+370 5 268 44 44,传真：+370 5 258 2700,电子邮箱：info@swedbank.lt,网址：https://www.swedbank.lt/en/pages/private
立陶宛&#352;iauli&#371; bankas AB,,"地址：Til??s str.149, LT-76348 ?iauliai",联系电话：+370 41 595 607,传真：+370 41 430 774,电子邮箱：info@sb.lt,网址：http://www.sb.lt/en/
立陶宛Medicinos Bankas,,"地址：Pam?nkalnio str. 40, 01114 Vilnius, Lithuania",联系电话：+370 800 60 700(24/7 line),传真：+370 5 264 4801,,网址：http://www.medbank.lt/en/
"缅甸商务部（Ministry of Commerce, the Republic of the Union of Myanmar）",,"地址：Building 3, Nay Pyi Taw, The Republic of the Union of Myanmar","联系电话：067 - 408265, 067 - 408485",传真：067 - 408004,电子邮箱：tamyint06@gmail.com,网址：http://www.commerce.gov.mm/en#.VmZyGX0hdva
罗马尼亚Popovici Ni&#539;u Stoica & Asocia&#539;ii,"简介：Popovici Ni?u Stoica & Asocia?ii is one of the first incorporated professional partnerships in Romania.The Firm acts as outside counsel to a wide spectrum of legal entities, including key players in major industries, financial institutions, public authorities and investment funds.","地址：239 Calea Dorobanti, 6th floor, Bucharest, 1st District, Postal Code 010567, Romania ",联系电话：(0040) 21 317 7919,传真：(0040) 21 317 8500/317 7505,电子邮箱：office@pnsa.ro,网址：http://www.pnsa.ro/
罗马尼亚邮政银行（Banc Post）,,"地址：6A Dimitrie Pompeiu Blvd, Sector 2, 020337 Bucharest, Romania",联系电话：0800 110 200(free of charge),,,网址：https://www.bancpost.ro/
蒙古Transport Development Bank,,"地址：Mongolia, Ulaanbaatar-15170, Chingeltei District, 1st khoroo, Juulchin street-35, Trans Bank","联系电话：+976 11 319591, 976 11 319580",传真：(+976-11) 319591,电子邮箱：info@transbank.mn,网址：http://www.transbank.mn/en
蒙古Credit Bank,,"地址：Sukhbaatar district,8 khoroo, 14200,Great Chinggis Khaan`s Square 18, Ulaanbaatar Mongolia ",联系电话：+976 11 319038,传真：+976 11 321897,电子邮箱：info@creditbank.mn,网址：http://www.creditbank.mn/en/
罗马尼亚公共财政部,,,,,,网址：www.mfinante.gov.ro（非英文网站）
罗马尼亚外交部（The Ministry of Foreign Affairs of Romania）,,"地址：Aleea Alexandru nr. 31, Sector 1, 011822 Bucharest",联系电话：+40 21 319 21 08; +40 21 319 21 25,传真：+40 21 319 68 62,电子邮箱：opinia_ta@mae.ro ,网址：http://www.mae.ro/en
黎巴嫩最高司法委员会（The Supreme Judicial Council）,,地址：Adlieh - Palace of Justice,联系电话：01/427 958-423 782,传真：01/427 958,电子邮箱：gbghanem@hotmail.com,
黎巴嫩Smayra Law Office,,"地址：Hamra, Makdessi St., El Sabbah Bldg., 6th floor, P.O.Box 113/6598 Beirut, Lebanon",联系电话：+961 1 350 771,传真：+961 1 342 358,电子邮箱：info@smayralaw.com,网址：http://www.smayralaw.com/
老挝国家工商会（Lao National Chamber of Commerce and Industry）,,"地址：Kayson phomvihane Ave., Ban Phonphanao, Saysettha District, Vientiane Capital, Lao PDR，P.O.Box: 4596 ",联系电话：(+856-21) 453 312,传真：(+856-21) 452 580,电子邮箱：lncci@laopdr.com ,网址：http://www.laocci.com/
老挝外交部（Ministry of Foreign Affairs of Lao PDR）,,"地址：23 Singha Road, Vientiane Capital, Lao PDR",,传真：856 21 414009,,网址： http://www.mofa.gov.la/
黎巴嫩奥迪银行（Bank Audi）,,"地址：Beirut, Lebanon",联系电话：+961 (1) 994000,传真：+961 (1) 990555 ,电子邮箱：contactus@banqueaudi.com,网址：http://www.bankaudi.com.lb/Lebanon/Home
马尔代夫银行（Bank of Maldives）,,"[""地址：Head Office, 11 Boduthakurufaanu Magu, Male",联系电话：3330200,,电子邮箱：customerservice@bml.com.mv,网址：http://www.bankofmaldives.com.mv/
黎巴嫩布洛姆银行（BLOM bank）,,"地址：Verdun ? Rachid Karami St., BLOM BANK Bldg.",联系电话：(961-1) 743300?738938/(961-1) 753 000（24小时）,,电子邮箱：callcenter@blom.com.lb ,网址：http://www.blombank.com/english/home
黎巴嫩法兰萨银行（Fransabank）,,"地址：Fransabank Headquarters, Hamra Str., Riad El Solh Beirut 1107 2803, Lebanon ",联系电话：+961 1 734 000（海外）,,,网址：http://www.fransabank.com/English/Pages/Corporate-Homepage.aspx
立陶宛AB DNB Bankas,,"地址：J.Basanavi?iaus str. 26, 03601 Vilnius - 6, Lithuania ",联系电话：(370 5) 239 34 44,传真：(370 5) 213 90 57,电子邮箱：info@dnb.lt,网址：https://www.dnb.lt/en
卡塔尔Arab Law Bureau ( ALB ),,"地址：9th Floor,Salam Tower, West Bay, Doha, P.O. Box 23301 Qatar ",联系电话：+974 4483 0202,传真：+974 4483 0101,电子邮箱：admin@albureau.com,网址：http://www.albureau.com/ 
卡塔尔工商总会（Qatar Chamber of Commerce & Industry）,,,联系电话：+974?44559111,传真：+974?44661693|+974?44661697,电子邮箱：info@qcci.org,网址：http://qatarchamber.com/
卡塔尔中央银行（Qatar Central Bank）,简介：卡塔尔中央银行（Qatar Central Bank）是卡塔尔的中央银行。起初它是卡塔尔金融机构，也被称为卡塔尔迪拜货币发行局制度。卡塔尔在1973年5月13日成立后，迪拜加入阿拉伯联合酋长国和脱离该地区此前曾跟随英国的货币政策。卡塔尔中央银行网站提供了卡塔尔中央银行相关政策、汇率政策、货币政策、监管及其他有关金融部门的政策和指示。该网站还拥有涵盖货币和银行业历史数据库。,,联系电话：+(974) 4445-6456,,,网址：http://www.qcb.gov.qa/English/Pages/Default.aspx
卡塔尔商业银行（The Commercial Bank of Qatar）,简介：卡塔尔商业银行（The Commercial Bank of Qatar）是卡塔尔第一家私营银行，于1975年成立。在2012年12月31日，银行总资产为800亿卡塔尔里亚尔。卡塔尔商业银行是一家在卡塔尔交易所上市的银行，也是卡塔尔第一家提供全球存托凭证，以及债券和在伦敦证券交易所上市的银行。,,联系电话：+974 4449 0009,传真：+974 4449 0070,,网址：http://www.cbq.qa/EN/Personal/Pages/default.aspx
布加勒斯特证券交易所（Bucharest Stock Exchange）,,"地址：34 - 36 Carol I Boulevard 020922, 14th Floor, Bucharest, sector 2, ROMANIA ",联系电话：(+40)(21) 307 95 00,传真：(+40)(21) 307 95 19,电子邮箱：bvb@bvb.ro,网址：http://www.bvb.ro/
卡塔尔伊斯兰银行（Qatar Islamic Bank）,简介：卡塔尔伊斯兰银行（Qatar Islamic Bank）成立于1982年，它是卡塔尔第一家在伊斯兰金融机构。,地址：Grand Hamad Street,联系电话：44409409,传真：44412700,电子邮箱：info@qib.com.qa,网址：http://www.qib.com.qa/en/index.aspx
卡塔尔国际伊斯兰银行（Qatar International Islamic Bank）,简介：卡塔尔国际伊斯兰银行（Qatar International Islamic Bank）于1991年1月1日成立的一家卡塔尔伊斯兰银行。,,联系电话：+974 4484 0000,,电子邮箱：Info@qiib.com.qa,网址：http://www.qiib.com.qa/
"印尼财政部（Ministry of Finance, Republic of Indonesia）",,,联系电话：021-3861489,,,网址：http://www.kemenkeu.go.id/en
"印度商工部投资促进与政策部（Department of Industrial Policy & Promotion, Ministry of Commerce & Industry）",简介：印度主管国内投资和外国投资的政府部门主要是商工部下属的投资促进和政策部，负责相关政策制订和投资促进工作，下设有产业协助秘书处（SIA）、外国投资执行局（FIIA）、外商投资促进理事会（FIPC）等机构,"地址：Udyog Bhawan, New Delhi-110011",联系电话：0091-11-23061222（具体工作人员联系方式详见官网）,传真：0091-11-23062626,,网址：www.dipp.nic.in
卡塔尔Al Abdulghani Law Firm,,"地址：24 Al Muntazah,340 Salwa Road, 1st floor Office No.6, Sheikh Ghanim Bin Ali Al Thani Building, Doha, State of Qatar",联系电话：(+974) 4436 9724,传真：(+974) 4436 7811,,网址：http://www.aaglawfirm.com/
科威特外国投资局（Kuwait Foreign Investment Bureau）,,"地址：Sharq - Khalid bin alwaleed street - City tower, State of Kuwait",联系电话：+965 2224 0700,传真：+965 2224 0773,电子邮箱：info@kfib.com.kw,网址：http://kdipa.gov.kw/kdipa/
印度工商联合会（Federation of Indian Chambers of Commerce & Industry）,,"地址：Federation House, Tansen Marg, New Delhi 110001",联系电话：91-11-23738760-70,"传真：91-11-23320714, 23721504",电子邮箱：ficci@ficci.com,网址：http://ficci.com/
捷克投资局（CzechInvest）,简介：工贸部下属半官方机构。其主要职能是促进捷克吸引外国投资，为投资者提供投资政策和投资与经营环境方面的专业咨询和信息服务，帮助投资者与有关政府部门联系，协助国外投资者与捷克供应商建立合作关系，对投资优惠申请进行初步审核。,,联系电话： +420 296 342 579,传真：+420 296 342 502,电子邮箱：fdi@czechinvest.org,网址：http://www.czechinvest.org/en
捷克财政部（Ministry of Finance of the Czech Republic）,,"地址：Letenská 15, 118 10 Praha",联系电话：+420 257 041 111,传真：+420 257 042 788,电子邮箱：podatelna@mfcr.cz,网址：http://www.mfcr.cz/en/
黎巴嫩毕卜鲁斯银行（Byblos Bank）,,"地址：Byblos Bank Tower, Elias Sarkis Ave., Ashrafieh, Beirut ",联系电话：+ 961\xa01\xa0205050 ,传真：+ 961\xa01\xa0334554,电子邮箱：customerservice@byblosbank.com.lb,网址： http://www.byblosbank.com/Home.aspx?pageid=2
捷克专利代理律师商会（Chamber of Patent Attorneys of the Czech Republic）,,"地址：Gorkeho 12, 602 00 Brno, Czech Republic",联系电话/传真：00420-541248246,,电子邮箱：kpz@patentovizastupci.cz,网址：www.patzastuci.cz
罗马尼亚国家商业注册办公室（National Trade Register Office）,,,联系电话：(+40-21) 316.08.04,传真：(+40-21) 316.08.03,电子邮箱：onrc@onrc.ro,网址：www.onrc.ro
捷克外交部（Ministry of Foreign Affairs of the Czech Republic）,,"地址：Loretánské náměstí 5, 118 00 Praha 1, Czech Republic",联系电话：+420 224 181 111,,,网址：http://www.mzv.cz/jnp/en/index.html
捷克地方发展部（Ministry of Regional Development of the Czech Republic）,,"地址：Staroměstské náměstí 6, 110 15 Praha 1",联系电话：+420 224 861 111,传真：+420 224 861 333,电子邮箱：info@mmr.cz,网址：http://www.mmr.cz/en/Homepage
捷克交通部（Ministry of Transport of the Czech Republic）,,"地址：Náb?e?í Ludvíka Svobody 12/1222, P.O. Box9, 110 15 Prague 1",联系电话：(+420) 225 131 526,传真：(+420) 225 131 184,电子邮箱：posta@mdcr.cz,网址：http://www.mdcr.cz/en/HomePage.htm
格鲁吉亚BGI Legal,,"地址：18 Rustaveli Avenue, II floor, Tbilisi",联系电话：(00995-32) 299 72 92,传真：(995 32) 299 66 15,电子邮箱：bgilegal@bgi.ge,网址：http://www.bgi.ge/?1/
黑山共和国交通运输与海事部（Ministry of Transport and Maritime Affairs）,,地址：Rimski trg 46,联系电话：+382 20 234 179,传真：+382 20 234 331 ,电子邮箱：edisa.visnjic@msp.gov.me ,网址：http://www.msp.gov.me/en/ministry
格鲁吉亚律师协会（Georgian Bar Association）,,"地址：Zubalashvili Brothers Str. N36, Tbilisi",联系电话：(99532) 222 46 54,,电子邮箱：info@gba.ge,网址：http://gba.ge/en/
格鲁吉亚财政部（Ministry of Finance of Georgia）,,地址：16 V.Gorgasali str. 0114 Tbilisi ,联系电话：+995 32 2 261 444,,,网址：http://www.mof.ge/en/
捷克工业与贸易部（Ministry of Industry and Trade of the Czech Republic）,简介：工贸部是主管外国投资的部门，同财政部、劳动与社会事务部和环境部等部门合作制订吸引外资政策，并负责投资项目鼓励方案审批。,"地址：Na Franti?ku 32, 110 15 Praha 1",联系电话：+420 224 851 111,传真：+420 224 811 089,电子邮箱：posta@mpo.cz,网址：http://www.mpo.cz/default_en.html
格鲁吉亚国家知识产权中心（National Intellectual Property Center）,,"地址：5 Antiokia str. Mtskheta, 3300 Georgia",联系电话：(+99532) 225 25 33,,电子邮箱：info@sakpatenti.org.ge,网址：http://www.sakpatenti.org.ge/index.php?lang_id=GEO&sec_id=16&lang_id=ENG
菲律宾国家银行（Philippine National Bank）,,"地址：Financial Center Pres. Diosdado Macapagal Boulevard, Pasay City, Philippines 1300",联系电话：(632) 5263131-70|8916040-70,传真：(632) 573-4580,电子邮箱：customercare@pnb.com.ph,网址：http://www.pnb.com.ph/
菲律宾证券交易所（Philippines Stock Exchange）,,,,,,
菲华商联总会（Federation of Filipino-Chinese Chambers of Commerce & Industry）,,"地址：6th Floor, Federation Center, Muelle De Binondo St. Manila, Philipplines",联系电话：0063-2-2419201,传真：0063-2-2422361\\2422347,电子邮箱：ffcccii@yahoo.com,网址：http://www.ffcccii.org/
捷克律师协会（Czech Bar Association）,,"地址：Národní 16, Prague 1, 110 00",联系电话：+420 221 729 026,传真：+420 224 932 989,,网址：http://www.cak.cz/en/
